Date,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976-01-31,36.638471844,40.948592172,29.653247099,38.348942896,18.004353595,21.357961245,26.068880624,28.686833261,33.259507596,28.995483788,27.955628706,34.369263268,27.601116404,34.37156703,35.798987731,35.981812495,33.313354814,36.532570475,29.253581092,28.527101976,15.844384291,25.35544408,27.404473604,41.489960387,32.004616318,29.433373,32.753821722,31.227608369,24.796005185,22.688999654,29.748494991,23.960003069,29.802964098,45.211509409,31.921794063,39.706293717,23.040355788,31.026795832,22.426243391,31.683097771,35.549816656,34.805242863,34.54688449,26.920956791,28.813252617,28.71966117,19.043867469,49.742970818,30.556380768,35.354854921
1976-02-29,37.232472904,41.083964291,29.984269961,38.674701133,18.213435796,21.47769445,26.270349018,28.792673522,33.234544408,29.007691407,28.070751558,34.804799697,27.808682301,34.612316209,36.320117374,36.218947609,33.348048554,36.851811289,29.186453086,28.712583701,15.931222989,25.347269638,27.352757679,41.846983419,32.753748941,29.881718907,33.164223004,31.472111095,25.042057801,22.85121124,29.96137559,23.797385759,29.790271751,45.656775761,32.027507794,39.967669883,23.174375251,31.399846462,22.526361175,31.492963412,35.796828458,34.829118359,34.790015724,27.302097658,28.797609152,28.752454029,19.261682285,49.404386794,30.450667341,35.499101638
1976-03-31,37.693927546,41.111205799,30.129314926,39.129882347,18.431298971,21.555449481,26.441553791,28.740118596,33.766894837,28.96963338,28.152559683,34.978224009,28.047694953,34.701548223,36.801535552,36.488382554,33.394635768,37.141427191,29.099317495,28.83138617,16.029177124,25.313080588,27.361670027,41.875682078,33.856815628,30.296112464,33.548507078,31.585157912,25.283910056,23.043912063,30.223990724,23.6521436,29.756949358,45.866039128,32.158752476,40.166896281,23.294814539,31.560978998,22.713112027,31.335185301,36.023406973,34.647451831,35.354140824,27.55819944,28.741460617,28.909526836,19.422740914,49.208626891,30.322195686,35.68406545
1976-04-30,37.983262351,41.094751248,30.129856184,39.643495563,18.680515424,21.651504388,26.553423031,28.740974771,34.989836755,28.969752299,28.132597046,35.039619955,28.265015677,34.847090804,37.269001208,36.786070383,33.515986154,37.361867331,29.004610197,28.885667594,16.046777373,25.332146707,27.435108062,41.649167733,35.064414381,30.607167763,33.815890111,31.571003585,25.377243337,23.243599036,30.465408362,23.534645557,29.731043283,45.961302265,32.438514442,40.317481743,23.460153274,31.598218679,22.984281585,31.356366228,36.22175719,34.623636224,36.323571743,27.758387976,28.68698239,29.048465671,19.563805725,49.152594525,30.309264743,35.895161557
1976-05-31,38.114211356,41.059405492,30.036097566,40.023228256,18.886746458,21.699329275,26.642731923,28.730203183,35.254188026,29.114942405,28.032111239,34.939084793,28.641083547,35.023491213,37.64281199,37.038379279,33.674496419,37.498062159,28.888238265,29.041094462,16.018353871,25.337055691,27.501587107,41.269461981,35.197472629,30.786250332,34.057355559,31.537177587,25.411402837,23.485451723,30.711458357,23.494373765,29.821831284,46.088127232,32.776462784,40.482125023,23.711447098,31.665543053,23.290250619,31.584303138,36.373895477,34.635743357,36.625398581,27.8979047,28.696967421,29.227081948,19.705638599,49.149864798,30.415757371,36.14698971
1976-06-30,38.155996557,40.990911171,29.920781962,40.294702647,19.086440364,21.731487165,26.756260286,28.71294851,34.294481659,29.468860079,27.942997199,34.787075855,29.072059886,35.168711276,37.893209647,37.25642803,33.873761443,37.531189671,28.678062098,29.247182482,15.962695791,25.388568647,27.554445054,40.936518788,34.330342015,30.894745327,34.159739169,31.573267366,25.389915396,23.6535904,30.97210496,23.522494327,29.930613156,46.222075286,33.035153684,40.794804734,24.077520467,31.916710222,23.571968289,31.924218537,36.481003999,34.57912709,36.181660856,27.991327653,28.728757882,29.384017357,19.944682864,49.172059367,30.516076014,36.527948268
1976-07-31,38.202599857,40.975784206,29.90388055,40.466028442,19.326057656,21.751726899,26.884527756,28.677568509,33.716814913,29.922401832,27.946372072,34.625529976,29.354507589,35.248918584,38.088431449,37.421815986,34.15676383,37.629817282,28.403776257,29.532223387,16.019057377,25.530592801,27.75737793,40.801349467,33.562061247,30.956289382,34.134292354,31.635228735,25.369499441,23.730699908,31.238828389,23.592952364,30.026998073,46.387003459,33.237509203,41.212305921,24.518808077,32.161691571,23.752979418,32.25967988,36.698322564,34.496542816,35.977431103,28.102843347,28.806652622,29.551988156,20.31091501,49.19736884,30.614856957,37.059161877
1976-08-31,38.244653264,41.111061969,29.93299692,40.676559544,19.638783356,21.763604521,27.076709592,28.694130874,33.635745265,30.188842114,28.028677652,34.488453367,29.49548251,35.300849156,38.328350324,37.557290639,34.402267366,37.925703746,28.059096556,29.758361297,16.151025117,25.655230267,28.052222012,40.845328796,33.171538823,31.044302857,34.130843296,31.689770252,25.366257871,23.79883667,31.468105808,23.626740458,30.044855688,46.591047933,33.423087881,41.582350729,24.932928507,31.989749215,23.921528912,32.534813597,37.03032737,34.487031647,36.00825645,28.262792086,28.93739102,29.770930138,20.667583046,49.273394658,30.823627595,37.77006032
1976-09-30,38.299617466,41.474292688,30.01232155,40.895109212,19.919192145,21.804143797,27.153562477,28.679757047,33.764430714,30.254154259,28.118388465,34.513627246,29.622617979,35.3929904,38.666911891,37.756819507,34.647520502,38.301592371,27.728849123,29.83516247,16.288837648,25.815092536,28.29017823,41.038965839,33.100038051,31.185566647,34.196093715,31.739621998,25.434130903,23.774642966,31.694524124,23.625840974,30.021215201,46.923461219,33.63563726,41.903890653,25.367159595,31.426626518,24.047228654,32.711768553,37.441153676,34.61114125,36.141860625,28.398330146,29.172662081,29.984633755,20.915133857,49.492605301,31.143385362,38.499046239
1976-10-31,38.388757169,42.029086571,30.18564445,41.096406707,20.227925017,21.969769264,27.221799277,28.678666959,33.84600475,30.25065453,28.169737712,34.777020007,29.755726028,35.57307127,39.136104936,38.08860196,34.809862712,38.670335079,27.577728075,29.76316581,16.389014396,26.006710526,28.498633904,41.341378261,33.223837802,31.382383694,34.418473653,31.792485679,25.570670633,23.614729761,31.989146779,23.600035746,30.049072798,47.496398924,33.797582592,42.209619265,25.787495323,31.075812102,24.17911472,32.828511379,37.836127176,34.761790838,36.372206611,28.507727089,29.416044895,30.12885018,21.128769911,49.820223004,31.473483171,39.253597245
