date,Austin_HPI
2017-06-30,276185.363704952
2017-05-31,274126.651014314
2017-04-30,272264.95926262
2017-03-31,271375.381630825
2017-02-28,271397.540319874
2017-01-31,271655.785445605
2016-12-31,271457.436032927
2016-11-30,270032.484615641
2016-10-31,268363.839321057
2016-09-30,266256.128329441
2016-08-31,264561.330016333
2016-07-31,262478.590422892
2016-06-30,260879.55671465
2016-05-31,259538.277963939
2016-04-30,259902.152695507
2016-03-31,260442.725996598
2016-02-29,260817.719060569
2016-01-31,260326.406041578
2015-12-31,259631.999688012
2015-11-30,258098.148382884
2015-10-31,256048.909631879
2015-09-30,253712.518153295
2015-08-31,251972.208696979
2015-07-31,250183.39909797
2015-06-30,247748.276892794
2015-05-31,245379.026827193
2015-04-30,243254.818908441
2015-03-31,242381.722405862
2015-02-28,242108.356307597
2015-01-31,241904.777231285
2014-12-31,240501.61526377
2014-11-30,238244.285565458
2014-10-31,235844.660037984
2014-09-30,234668.273486164
2014-08-31,233892.659671055
2014-07-31,233967.24593752
2014-06-30,233024.236652656
2014-05-31,231967.478946265
2014-04-30,229860.027404836
2014-03-31,228294.709757839
2014-02-28,226878.235470174
2014-01-31,225265.903649289
2013-12-31,223656.3776549
2013-11-30,221889.236862576
2013-10-31,220436.363217422
2013-09-30,218149.746468983
2013-08-31,216157.104446983
2013-07-31,213952.148299736
2013-06-30,211846.537838705
2013-05-31,208403.203630539
2013-04-30,204233.411951601
2013-03-31,200570.942386085
2013-02-28,198157.30376357
2013-01-31,196614.326353758
2012-12-31,195581.619910729
2012-11-30,194244.480429445
2012-10-31,193494.67081153
2012-09-30,192684.031366769
2012-08-31,192504.678382555
2012-07-31,192373.383746954
2012-06-30,192020.977689796
2012-05-31,191119.183688959
2012-04-30,189192.757426003
2012-03-31,186963.030104654
2012-02-29,183849.536418106
2012-01-31,181920.427815048
2011-12-31,180743.455393242
2011-11-30,181172.271748699
2011-10-31,181922.172546393
2011-09-30,182473.121866734
2011-08-31,182923.425035485
2011-07-31,182966.458802035
2011-06-30,183126.954410639
2011-05-31,183524.073191471
2011-04-30,184853.102483192
2011-03-31,187604.31248899
2011-02-28,193775.628487774
2011-01-31,199161.057923746
2010-12-31,203308.801367364
2010-11-30,203549.546418081
2010-10-31,204296.307020617
2010-09-30,205155.802770963
2010-08-31,206595.800418355
2010-07-31,207103.979791039
2010-06-30,207655.908300025
2010-05-31,207899.413484576
2010-04-30,208519.486920721
2010-03-31,209074.239797265
2010-02-28,210301.505118994
2010-01-31,211659.2769281
2009-12-31,212656.351961343
2009-11-30,212325.114187319
2009-10-31,211226.661500992
2009-09-30,208673.385087275
2009-08-31,207797.608272918
2009-07-31,208223.12235509
2009-06-30,211129.662265287
2009-05-31,213332.173727083
2009-04-30,215160.437688899
2009-03-31,216198.461177239
2009-02-28,216656.214287377
2009-01-31,216846.928550798
2008-12-31,219776.0
2008-11-30,220347.0
2008-10-31,220771.0
2008-09-30,221228.0
2008-08-31,221310.0
2008-07-31,221684.0
2008-06-30,220484.0
2008-05-31,221028.0
2008-04-30,221053.0
2008-03-31,222485.0
2008-02-29,222009.0
2008-01-31,220783.0
2007-12-31,219191.0
2007-11-30,217548.0
2007-10-31,216690.0
2007-09-30,218624.0
2007-08-31,220110.0
2007-07-31,219686.0
2007-06-30,217035.0
2007-05-31,213196.0
2007-04-30,210060.0
2007-03-31,205268.0
2007-02-28,202023.0
2007-01-31,200260.0
2006-12-31,198535.0
2006-11-30,197924.0
2006-10-31,196573.0
2006-09-30,193744.0
2006-08-31,189865.0
2006-07-31,187126.0
2006-06-30,187415.0
2006-05-31,188323.0
2006-04-30,188989.0
2006-03-31,188116.0
2006-02-28,186794.0
2006-01-31,184637.0
2005-12-31,183392.0
2005-11-30,181214.0
2005-10-31,179215.0
2005-09-30,177270.0
2005-08-31,176223.0
2005-07-31,174991.0
2005-06-30,172571.0
2005-05-31,169868.0
2005-04-30,167105.0
2005-03-31,165721.0
2005-02-28,164998.0
2005-01-31,164988.0
2024-05-31,425804.837088995
2024-04-30,424113.196575411
2024-03-31,422463.762960251
2024-02-29,422654.328716305
2024-01-31,424666.547108305
2023-12-31,427079.261925354
2023-11-30,428155.288938025
2023-10-31,428515.817201665
2023-09-30,429494.460326255
2023-08-31,430842.066663253
2023-07-31,431742.076499059
2023-06-30,432619.101161372
2023-05-31,432219.387210662
2023-04-30,431724.933029822
2023-03-31,430401.278124075
2023-02-28,432343.941860759
2023-01-31,435352.885767608
2022-12-31,439184.955931451
2022-11-30,440127.676189261
2022-10-31,441617.470930487
2022-09-30,444515.232530015
2022-08-31,449491.659376892
2022-07-31,453448.787157097
2022-06-30,453302.554262282
2022-05-31,448907.293826598
2022-04-30,440850.404405736
2022-03-31,431879.936252721
2022-02-28,421925.055229462
2022-01-31,415128.579648798
2021-12-31,410203.245363482
2021-11-30,406632.302216446
2021-10-31,402046.366221419
2021-09-30,396597.551074711
2021-08-31,391631.822675337
2021-07-31,386287.474878767
2021-06-30,380048.640082193
2021-05-31,373096.040653918
2021-04-30,365354.068628792
2021-03-31,357309.041497424
2021-02-28,349336.817044805
2021-01-31,340655.70410138
2020-12-31,331303.963701659
2020-11-30,322414.317918066
2020-10-31,314803.66476195
2020-09-30,309076.248868086
2020-08-31,303570.068118787
2020-07-31,299148.155435156
2020-06-30,296118.918297514
2020-05-31,292984.955970667
2020-04-30,290306.566684785
2020-03-31,288466.080520747
2020-02-29,288386.323087189
2020-01-31,288093.524431567
2019-12-31,286653.143791171
2019-11-30,284459.605687759
2019-10-31,282381.858342786
2019-09-30,280720.470033591
2019-08-31,279736.863454662
2019-07-31,278739.172692359
2019-06-30,277747.407062778
2019-05-31,276452.623633412
2019-04-30,275112.507510845
2019-03-31,273932.500117242
2019-02-28,273917.068460342
2019-01-31,274407.317701105
2018-12-31,274059.626420533
2018-11-30,271849.73852498
2018-10-31,269055.51242979
2018-09-30,266634.581835245
2018-08-31,263454.213645608
2018-07-31,260210.787695976
2018-06-30,257678.522849224
2018-05-31,255876.211056691
2018-04-30,253928.949682513
2018-03-31,251731.486799886
2018-02-28,250090.012029728
2018-01-31,248876.057907331
2017-12-31,247476.145377193
2017-11-30,246398.857360673
2017-10-31,245772.048958402
2017-09-30,245425.211030639
2017-08-31,244606.863436038
2017-07-31,243419.415553483
2017-06-30,242165.272966154
2017-05-31,240656.990912134
2017-04-30,239619.859186388
2017-03-31,238899.61477592
2017-02-28,239142.094533455
2017-01-31,239099.288381798
2016-12-31,238627.290820824
2016-11-30,237743.198510896
2016-10-31,236920.518306289
2016-09-30,236082.973064553
2016-08-31,235612.592507328
2016-07-31,234761.282245323
2016-06-30,233816.947699263
2016-05-31,232647.695376163
2016-04-30,232371.788096645
2016-03-31,232828.742643344
2016-02-29,232806.996998171
2016-01-31,231862.699563722
2015-12-31,230738.315012609
2015-11-30,230079.577740193
2015-10-31,229814.939758889
2015-09-30,228614.286597073
2015-08-31,226865.00997597
2015-07-31,224524.157278107
2015-06-30,222572.07726209
2015-05-31,220583.837882286
2015-04-30,218456.806894859
2015-03-31,215599.4057452
2015-02-28,213752.368050509
2015-01-31,212749.429570512
2014-12-31,213455.441318008
2014-11-30,214269.391772403
2014-10-31,214773.817093936
2014-09-30,214163.327722752
2014-08-31,212960.290272183
2014-07-31,211486.116853408
2014-06-30,209895.841399701
2014-05-31,208975.164275413
2014-04-30,208147.859689307
2014-03-31,207935.807899992
2014-02-28,208336.279822373
2014-01-31,209026.895136479
2013-12-31,210530.647623533
2013-11-30,211161.71197539
2013-10-31,211864.088248166
2013-09-30,211468.447211989
2013-08-31,211061.296680115
2013-07-31,210622.051546292
2013-06-30,209949.516922031
2013-05-31,208994.258688459
2013-04-30,207423.396593867
2013-03-31,205904.194907765
2013-02-28,205142.026294072
2013-01-31,205612.32706299
2012-12-31,207052.442372648
2012-11-30,207997.044252259
2012-10-31,208681.975232259
2012-09-30,208922.403584658
2012-08-31,208536.719954544
2012-07-31,207720.866364085
2012-06-30,206371.566459253
2012-05-31,205364.224480612
2012-04-30,203821.763870454
2012-03-31,202101.746152915
2012-02-29,199542.267013105
2012-01-31,197100.491573961
2011-12-31,195136.21023164
2011-11-30,194002.514221573
2011-10-31,193871.166497758
2011-09-30,194422.429764859
2011-08-31,195446.193154565
2011-07-31,196332.113151141
2011-06-30,196692.082760531
2011-05-31,196949.628177223
2011-04-30,197264.594300239
2011-03-31,196954.309991681
2011-02-28,194406.752409384
2011-01-31,191697.28393988
2010-12-31,189851.324676076
2010-11-30,189770.69010047
2010-10-31,189941.817388459
2010-09-30,189800.072750389
2010-08-31,190383.227557748
2010-07-31,190399.105724491
2010-06-30,190356.133444664
2010-05-31,189739.345928364
2010-04-30,188940.535572619
2010-03-31,188805.607497388
2010-02-28,189498.77468198
2010-01-31,190590.00199413
2009-12-31,192026.898512734
2009-11-30,192439.61993956
2009-10-31,193335.38173735
2009-09-30,194212.307339086
2009-08-31,195686.584220794
2009-07-31,197716.222841838
2009-06-30,199342.995212673
2009-05-31,200686.754426909
2009-04-30,201609.917597187
2009-03-31,201773.45296986
2009-02-28,202158.39208284
2009-01-31,201565.371766733
2008-12-31,189779.0
2008-11-30,191628.0
2008-10-31,193158.0
2008-09-30,192929.0
2008-08-31,192752.0
2008-07-31,192306.0
2008-06-30,192355.0
2008-05-31,193154.0
2008-04-30,193273.0
2008-03-31,194189.0
2008-02-29,193707.0
2008-01-31,193852.0
2007-12-31,193742.0
2007-11-30,193625.0
2007-10-31,193201.0
2007-09-30,193523.0
2007-08-31,193830.0
2007-07-31,194348.0
2007-06-30,193906.0
2007-05-31,193119.0
2007-04-30,191318.0
2007-03-31,189874.0
2007-02-28,188522.0
2007-01-31,187431.0
2006-12-31,185582.0
2006-11-30,183277.0
2006-10-31,180541.0
2006-09-30,177900.0
2006-08-31,176678.0
2006-07-31,176427.0
2006-06-30,175571.0
2006-05-31,172994.0
2006-04-30,170344.0
2006-03-31,167668.0
2006-02-28,165442.0
2006-01-31,162702.0
2005-12-31,160948.0
2005-11-30,159447.0
2005-10-31,158513.0
2005-09-30,157658.0
2005-08-31,156047.0
2005-07-31,153899.0
2005-06-30,152600.0
2005-05-31,152634.0
2005-04-30,153370.0
2005-03-31,154150.0
2005-02-28,154467.0
2005-01-31,155340.0
2022-02-28,358088.0
2022-01-31,353821.0
2021-12-31,347393.0
2021-11-30,343565.0
2021-10-31,341212.0
2021-09-30,337105.0
2021-08-31,325363.0
2021-07-31,317573.0
2021-06-30,307204.0
2021-05-31,304776.0
2021-04-30,312272.0
2021-03-31,316705.0
2021-02-28,303909.0
2021-01-31,306196.0
2020-12-31,298951.0
2020-11-30,293081.0
2020-10-31,295995.0
2020-09-30,299890.0
2020-08-31,301682.0
2020-07-31,284740.0
2020-06-30,296682.0
2020-05-31,289211.0
2020-04-30,290721.0
2020-03-31,291574.0
2020-02-29,292572.0
2020-01-31,292643.0
2019-12-31,293197.0
2019-11-30,291905.0
2019-10-31,290949.0
2019-09-30,289227.0
2019-08-31,287519.0
2019-07-31,285343.0
2019-06-30,281579.0
2019-05-31,278565.0
2019-04-30,276179.0
2019-03-31,274981.0
2019-02-28,272581.0
2019-01-31,270865.0
2018-12-31,268621.0
2018-11-30,267671.0
2018-10-31,265982.0
2018-09-30,264979.0
2018-08-31,263582.0
2018-07-31,263904.0
2018-06-30,265633.0
2018-05-31,265369.0
2018-04-30,263607.0
2018-03-31,260468.0
2018-02-28,258140.0
2018-01-31,255883.0
2017-12-31,253146.0
2017-11-30,251721.0
2017-10-31,249891.0
2017-09-30,248058.0
2017-08-31,246292.0
2017-07-31,243629.0
2017-06-30,241339.0
2017-05-31,238856.0
2017-04-30,237041.0
2017-03-31,234616.0
2017-02-28,232718.0
2017-01-31,230892.0
2016-12-31,229001.0
2016-11-30,226434.0
2016-10-31,224685.0
2016-09-30,222564.0
2016-08-31,220526.0
2016-07-31,217601.0
2016-06-30,215252.0
2016-05-31,213891.0
2016-04-30,212577.0
2016-03-31,212775.0
2016-02-29,211513.0
2016-01-31,210349.0
2015-12-31,208236.0
2015-11-30,205967.0
2015-10-31,204205.0
2015-09-30,203502.0
2015-08-31,203001.0
2015-07-31,202786.0
2015-06-30,200590.0
2015-05-31,197933.0
2015-04-30,195142.0
2015-03-31,192889.0
2015-02-28,192088.0
2015-01-31,190836.0
2014-12-31,190184.0
2014-11-30,189522.0
2014-10-31,188164.0
2014-09-30,186483.0
2014-08-31,184590.0
2014-07-31,183313.0
2014-06-30,182996.0
2014-05-31,182192.0
2014-04-30,181955.0
2014-03-31,180771.0
2014-02-28,179841.0
2014-01-31,178478.0
2013-12-31,177337.0
2013-11-30,176360.0
2013-10-31,175552.0
2013-09-30,175147.0
2013-08-31,174625.0
2013-07-31,173755.0
2013-06-30,172282.0
2013-05-31,171638.0
2013-04-30,171105.0
2013-03-31,170240.0
2013-02-28,168264.0
2013-01-31,167060.0
2012-12-31,165841.0
2012-11-30,165028.0
2012-10-31,163751.0
2012-09-30,162359.0
2012-08-31,161232.0
2012-07-31,160989.0
2012-06-30,161450.0
2012-05-31,161609.0
