Date,AK
1992-11-30,75.057085926
1992-12-31,75.312411697
1993-01-31,75.406435421
1993-02-28,75.379277197
1993-03-31,75.298727439
1993-04-30,75.337005816
1993-05-31,75.565942525
1993-06-30,75.943909979
1993-07-31,76.420817158
1993-08-31,77.020865037
1993-09-30,77.641158794
1993-10-31,78.184968334
1993-11-30,78.653478101
1993-12-31,79.002419821
1994-01-31,79.298344191
1994-02-28,79.714140125
1994-03-31,80.209204118
1994-04-30,80.630929612
1994-05-31,80.933877358
1994-06-30,81.188095525
1994-07-31,81.385952045
1994-08-31,81.468999943
1994-09-30,81.497095294
1994-10-31,81.614474858
1994-11-30,81.95240947
1994-12-31,82.418441432
1995-01-31,82.847956152
1995-02-28,83.178714143
1995-03-31,83.388557872
1995-04-30,83.587859463
1995-05-31,83.795548079
1995-06-30,83.995265437
1995-07-31,84.193410487
1995-08-31,84.38373912
1995-09-30,84.551585205
1995-10-31,84.656933092
1995-11-30,84.846582593
1995-12-31,85.163381476
1996-01-31,85.486835165
1996-02-29,85.793117368
1996-03-31,86.082428865
1996-04-30,86.372537175
1996-05-31,86.673556388
1996-06-30,86.989920054
1996-07-31,87.2608172
1996-08-31,87.474460243
1996-09-30,87.709063526
1996-10-31,87.930005799
1996-11-30,88.219180565
1996-12-31,88.523480349
1997-01-31,88.815541635
1997-02-28,89.104076987
1997-03-31,89.331401885
1997-04-30,89.458655468
1997-05-31,89.525003647
1997-06-30,89.566634774
1997-07-31,89.627193643
1997-08-31,89.878465459
1997-09-30,90.486625411
1997-10-31,91.03787905
1997-11-30,91.483346919
1997-12-31,91.751741386
1998-01-31,91.88119166
1998-02-28,91.999491089
1998-03-31,92.184360144
1998-04-30,92.471972212
1998-05-31,92.866989201
1998-06-30,93.216459039
1998-07-31,93.363125992
1998-08-31,93.323541139
1998-09-30,93.365771282
1998-10-31,93.355999685
1998-11-30,93.481978052
1998-12-31,93.609962798
1999-01-31,93.775639742
1999-02-28,94.03357045
1999-03-31,94.401235276
1999-04-30,94.831347255
1999-05-31,95.155002562
1999-06-30,95.364051157
1999-07-31,95.667655731
1999-08-31,96.043897575
1999-09-30,96.413056392
1999-10-31,96.409220543
1999-11-30,96.446629375
1999-12-31,96.585498545
2000-01-31,96.735033119
2000-02-29,96.824995692
2000-03-31,96.911697989
2000-04-30,97.049276578
2000-05-31,97.319918885
2000-06-30,97.6461411
2000-07-31,97.912544387
2000-08-31,98.164791472
2000-09-30,98.626112151
2000-10-31,99.064333756
2000-11-30,99.550514436
2000-12-31,100.0
2001-01-31,100.43401571
2001-02-28,100.9031362
2001-03-31,101.38628374
2001-04-30,101.84954115
2001-05-31,102.34033291
2001-06-30,102.89823602
2001-07-31,103.55336313
2001-08-31,104.29423904
2001-09-30,105.12275015
2001-10-31,105.62039904
2001-11-30,105.96047372
2001-12-31,106.40162054
2002-01-31,106.9929439
2002-02-28,107.64493933
2002-03-31,108.31715921
2002-04-30,108.95888432
2002-05-31,109.45955411
2002-06-30,109.80515374
2002-07-31,110.11412651
2002-08-31,110.41785291
2002-09-30,110.8868336
2002-10-31,111.4938148
2002-11-30,112.19660758
2002-12-31,112.98744817
2003-01-31,113.75236016
2003-02-28,114.42445698
2003-03-31,115.06374738
2003-04-30,115.6225444
2003-05-31,116.28438853
2003-06-30,117.06884708
2003-07-31,117.9864806
2003-08-31,118.94576969
2003-09-30,119.80060728
2003-10-31,120.45487804
2003-11-30,121.17266814
2003-12-31,122.06181314
2004-01-31,123.04536673
2004-02-29,123.88071573
2004-03-31,124.72140733
2004-04-30,125.68547493
2004-05-31,126.77408798
2004-06-30,127.79024581
2004-07-31,128.76047722
2004-08-31,129.59875964
2004-09-30,130.50152933
2004-10-31,131.61463181
2004-11-30,132.91361114
2004-12-31,134.21919889
2005-01-31,135.45269986
2005-02-28,136.49752233
2005-03-31,137.61311299
2005-04-30,138.67403807
2005-05-31,139.67898289
2005-06-30,140.8277919
2005-07-31,142.43095999
2005-08-31,144.10302186
2005-09-30,145.73554242
2005-10-31,147.10940183
2005-11-30,148.1940224
2005-12-31,149.10723753
2006-01-31,150.17261892
2006-02-28,151.18991751
2006-03-31,152.17598891
2006-04-30,153.09052141
2006-05-31,153.8314226
2006-06-30,154.29465413
2006-07-31,154.63714662
2006-08-31,154.63204444
2006-09-30,154.70843574
2006-10-31,154.9990099
2006-11-30,155.66248361
2006-12-31,156.22663762
2007-01-31,156.87061937
2007-02-28,157.44340364
2007-03-31,157.87342736
2007-04-30,158.05998065
2007-05-31,158.12038497
2007-06-30,158.09464359
2007-07-31,158.10912591
2007-08-31,158.04152913
2007-09-30,158.05825488
2007-10-31,157.65343348
2007-11-30,157.02752773
2007-12-31,156.08824063
2008-01-31,155.6130549
2008-02-29,155.34071952
2008-03-31,155.23943505
2008-04-30,155.24990294
2008-05-31,155.46301837
2008-06-30,155.76897019
2008-07-31,155.969563
2008-08-31,155.73920178
2008-09-30,155.48236524
2008-10-31,155.10147446
2008-11-30,154.7432767
2008-12-31,154.27564682
2009-01-31,154.42127463
2009-02-28,154.48106974
2009-03-31,154.45055202
2009-04-30,154.2927577
2009-05-31,154.06191479
2009-06-30,153.87467819
2009-07-31,153.77167606
2009-08-31,153.67671958
2009-09-30,153.78374347
2009-10-31,153.85639686
2009-11-30,153.91269281
2009-12-31,153.66917475
2010-01-31,153.62721024
2010-02-28,153.55601941
2010-03-31,153.63925263
2010-04-30,153.7869188
2010-05-31,153.8554363
2010-06-30,153.81386242
2010-07-31,153.77739438
2010-08-31,153.73850987
2010-09-30,153.87924949
2010-10-31,154.31008036
2010-11-30,154.9235881
2010-12-31,155.56528943
2011-01-31,156.26674723
2011-02-28,156.36624068
2011-03-31,156.15739934
2011-04-30,155.78134223
2011-05-31,155.28411445
2011-06-30,154.81126638
2011-07-31,154.48210126
2011-08-31,154.41403021
2011-09-30,154.42706161
2011-10-31,154.28827348
2011-11-30,154.07300053
2011-12-31,153.89896429
2012-01-31,153.80854875
2012-02-29,153.59551698
2012-03-31,153.59108261
2012-04-30,154.02634975
2012-05-31,154.79132793
2012-06-30,155.75704209
2012-07-31,156.60035553
2012-08-31,157.12203594
2012-09-30,157.50583747
2012-10-31,157.92494626
2012-11-30,158.32256826
2012-12-31,158.62439254
2013-01-31,158.98935122
2013-02-28,159.41356669
2013-03-31,160.00918437
2013-04-30,160.82155234
2013-05-31,161.57239424
2013-06-30,162.06292737
2013-07-31,162.28055681
2013-08-31,162.49996827
2013-09-30,162.7279763
2013-10-31,163.08577866
2013-11-30,163.62994502
2013-12-31,164.18103768
2014-01-31,164.68156912
2014-02-28,165.19800696
2014-03-31,165.67270875
2014-04-30,165.87745431
2014-05-31,165.88893356
2014-06-30,166.09912594
2014-07-31,166.6261991
2014-08-31,167.30032962
2014-09-30,167.68751559
2014-10-31,167.82835287
2014-11-30,167.91620224
2014-12-31,168.16507306
2015-01-31,168.56642635
2015-02-28,168.90098591
2015-03-31,169.24332218
2015-04-30,169.73977035
2015-05-31,170.33379045
2015-06-30,170.96293252
2015-07-31,171.5340141
2015-08-31,172.19726935
2015-09-30,172.79460738
2015-10-31,173.29269907
2015-11-30,173.75152647
2015-12-31,174.02515978
2016-01-31,174.05010439
2016-02-29,173.94282983
2016-03-31,173.81279009
2016-04-30,173.72039796
2016-05-31,173.66307097
2016-06-30,173.54791558
2016-07-31,173.35222957
